,REINCIDENCIA_VIOLENTA,V373_REIN_JUDICIAL_2021,V374_REIN_JUDICIAL_19,V376_REIN_PENITENCIARIA
V78_R3C_F07_HistoriaViolencia,-0.01740405746681153,0.18118687843221717,0.20127031301868786,0.2144208193170649
V79_R3C_F08_IniciActivitatDelictiva,-0.018291548964348765,0.17192784052804894,0.1913905313589159,0.2030322716236805
V80_R3C_F09_IncrementGravetatDelictes,-0.016475436677079867,0.17967179988120432,0.1994529048211187,0.20770740100703272
V81_LLP,-0.011147324367545319,-0.03580813526360811,-0.02625661191610911,-0.012721326476188061
V82_INGRESPENAT,-0.05498713802487809,-0.10274699346151474,-0.11733147726513496,-0.1604137237510436
V83_CLAS_INICIAL,-0.005990172047649894,-0.13711098762431181,-0.14883060083429178,-0.07269454978216942
V84_INGRESANTERIOR,-0.10034861658017039,-0.20070224038305923,-0.18059337380803508,-0.234460813717836
V85_INGRESANTERIOR_AGRUPADA,-0.1039287831365317,-0.22026455962516386,-0.20682172734195597,-0.2897466551093391
V86_DURADA_PENA_RisCanvi,0.026340701347632483,-0.13753521210747396,-0.14046763627440365,-0.09523935914952092
V87_DURADA_PENA_PENITENCIARI,0.020344302818211323,-0.1122996630613487,-0.11729010392858322,-0.07713737288593996
V88_DURADA_PENA_ESTUDISANTER,0.024537998999248623,-0.13252667314830197,-0.13754165644034652,-0.09060005664886567
V89_TEMPSCONDEMNA_ANUAL,0.026564482595462895,-0.13491594168375234,-0.1394776542468388,-0.10390917994255267
V90_PERMISOS,-0.06717465743085727,-0.17549034665804733,-0.19746609135595586,-0.23520526908922817
V91_SORTIDES_100_2,0.03314113453296839,-0.02576658948495783,-0.03629688456637698,-0.026258867033448877
V92_INCIDENTS,-0.1341239108905817,-0.14248521275436402,-0.1388814529670114,-0.1305902713024782
V93_EXPEDIENTS,-0.12317328554962936,-0.1283065647545302,-0.12929457327851282,-0.11870881078470397
V94_EXP_MOLTGREU,-0.14910487668881003,-0.14939908291167323,-0.15730639037120164,-0.15227340455863547
V95_EXP_GREU,-0.1141259213882953,-0.11962572348914148,-0.11436340432042857,-0.10799287989788474
V96_REGRESSIONS,-0.06991920623410827,-0.0654448412727246,-0.06954872694268507,-0.046004480866323624
V97_UBICA_SUPERVISIO,-0.1377891096017848,-0.08079963577974832,-0.0909591321538037,-0.10062512216482505
V98_UBICA_INFERMERIA,-0.06107833321938353,-0.0125034769490448,-0.024581530200955753,-0.03721634492046749
V99_UBICA_PSIQUIATRIA,-0.07042176011950481,-0.027422213418634038,-0.04399275191661185,-0.03651471510298264
V100_CLASSIFICACIONS,0.05702003840547232,0.02197542664407919,0.023805401169543244,-0.00628998849750967
V101_REGRESSIONS_1RGRAU,-0.09785217586933823,-0.09837337565432079,-0.11255751114634878,-0.09679095679760692
V102_REGRESSIONS_2GRAU,-0.012285212817487179,-0.01372769012579994,-0.009313199349328909,0.013433298574341748
V103_TERCERGRAU,-0.08930890447752056,-0.19483146387638142,-0.2144374495525016,-0.25470228963231223
V104_R3C_F10_ConflictesAmbInterns,-0.016735511160000115,0.17021517865184524,0.18864782881345454,0.20219246317323225
V105_R3C_F11_IncomplimentsMesures,-0.006916578132780897,0.18232148094415335,0.20321603616219602,0.22068927949105807
V106_R3C_F12_ExpedientsDisciplinaris,-0.02797507868377341,0.1601465524089871,0.1799808614398257,0.19119107950968636
